'goals','hat_y_g','hat_y_xG'
2.0,1.52749,1.6
2.0,1.149,1.0
0.0,1.1425,0.9
2.0,2.436,4.1
2.0,2.218,2.4
2.0,1.43150,1.4
1.0,2.95050,2.9
0.0,1.318,1.2
1.0,1.9365,2.3
0.0,1.315,1.7
3.0,1.40200,1.2
2.0,0.898,1.0
1.0,1.91150,1.4
5.0,2.8415,2.3
4.0,1.78897,2.2
5.0,1.6555,1.9
1.0,1.93000,2.5
0.0,1.63300,1.6
2.0,1.60799,2.2
2.0,1.22699,2.2
2.0,1.716,1.8
0.0,1.157,0.8
2.0,1.688,2.3
3.0,1.5,1.7
2.0,2.0865,1.3
3.0,2.46,1.8
3.0,2.2355,3.1
4.0,1.2715,1.4
4.0,1.95,1.7
2.0,1.0585,1.7
1.0,1.034,1.2
3.0,1.50500,1.3
1.0,1.934,1.5
0.0,1.14849,0.4
0.0,1.796,2.6
2.0,1.5365,1.1
1.0,1.3485,0.5
1.0,1.462,0.8
2.0,1.457,1.5
2.0,1.466,1.1
4.0,1.784,1.9
2.0,1.5895,1.1
1.0,1.018,1.4
3.0,1.8235,1.8
2.0,1.384,1.4
7.0,1.6695,1.5
4.0,1.87849,1.9
3.0,1.8605,1.6
3.0,1.51900,1.2
1.0,1.62049,1.3
1.0,1.177,1.8
0.0,1.91350,1.8
1.0,1.1865,0.8
2.0,1.28149,1.6
0.0,1.028,0.7
1.0,1.193,1.3
3.0,1.3425,1.4
2.0,1.73,2.0
1.0,1.1415,1.0
2.0,1.379,1.0
1.0,1.69600,1.5
0.0,1.508,1.9
1.0,1.6395,0.9
0.0,1.5535,1.6
1.0,0.95700,0.9
2.0,1.1515,1.3
0.0,1.408,1.2
3.0,1.4845,1.3
1.0,1.4675,1.7
1.0,1.64200,1.1
0.0,1.363,1.6
1.0,1.66849,2.1
2.0,1.363,1.3
0.0,1.09150,1.0
0.0,1.91850,1.7
0.0,1.8285,2.1
2.0,1.3125,1.5
3.0,1.73,1.2
1.0,1.473,1.6
2.0,1.17098,0.6
